,comment,rating,blind,is_deleted,menu_items,level,menu_summary,like_count,is_mine_review,phone,rating_quantity,rating_taste,is_mine_like,rating_delivery,clean,time,review_images,nickname,id,is_menu_visible,owner_reply,owner_reply.comment,owner_reply.created_at,owner_reply.id
167,"역시!! 닭상태 좋구..기름 쭉 빠졌구..
너무 맛있네요..
오자마자 한입 베어 물었는데ㅠ너무 좋네요.!!!",5,False,False,,3,해바라기핫후라이드치킨/1,0,False,fa**,5,5,False,5.0,True,2019-12-08 19:40:20,"[{'full': 'https://rev-static.yogiyo.co.kr/d152da1e8f4b50b79c4ef52d39727adf.jpg', 'thumb': 'https://rev-static.yogiyo.co.kr/d152da1e8f4b50b79c4ef52d39727adf_tn.jpg'}]",fa**,19980628,True,,"고객님 감사드려요.
특히나 후라이드는 기름 빼는데 정성을 기울이는데
알아봐 주시니 기분이 좋습니다.
더욱 신경쓰겠습니다~",2019-12-10 13:47:19,5734679.0
168,두번째 시켜먹는데 맛나구요 바삭하게 배달되서 좋네요 빨리오구요,5,False,False,,3,치하오순살/1,0,False,gl**,5,5,False,5.0,True,2019-12-08 18:57:21,[],gl**,19977444,True,,"고객님 감사합니다.
양념에 버무려지는데도 바삭하다는 표현 듣기 좋은것 같아요. 더욱 분발하겠습니다~",2019-12-10 14:00:57,5734894.0
169,호불호가 확 갈린다고 해서 걱정을 좀 했는데 저한테는 잘 맞았어요~ 생각도 못한 수첩까지! 👍👍👍👍👍,5,False,False,,1,"블랙올리브순살/1(추가메뉴(뿌링소떡,빨간소떡))",0,False,ls**,5,5,False,5.0,True,2019-12-08 13:30:25,"[{'full': 'https://rev-static.yogiyo.co.kr/6af7beabedaaa06bbfcbd975532b95e3.jpg', 'thumb': 'https://rev-static.yogiyo.co.kr/6af7beabedaaa06bbfcbd975532b95e3_tn.jpg'}, {'full': 'https://rev-static.yogiyo.co.kr/c00d4bf197b466eba7084a6ce8422ea2.jpg', 'thumb': 'https://rev-static.yogiyo.co.kr/c00d4bf197b466eba7084a6ce8422ea2_tn.jpg'}]",ls**,19960339,True,,"고객님 
블랙올리브 맛있게 드셨다니 감사드립니다.
신제품 기념 다이어리도 맘에 드셔서 다행입니다^^
앞으로도 많이 이용해주세요~",2019-12-10 14:07:13,5734992.0
170,뿌링클 가루 넉넉하게 뿌려져 있어서 좋았고 빠르고 친절하셨어요.,5,False,False,,2,"순살뿌링클/1,콜라1.25L¸/1",0,False,is**,5,5,False,5.0,True,2019-12-08 12:46:52,"[{'full': 'https://rev-static.yogiyo.co.kr/8c78806baf60922f4afc9cc2b159b7a5.jpg', 'thumb': 'https://rev-static.yogiyo.co.kr/8c78806baf60922f4afc9cc2b159b7a5_tn.jpg'}]",is**,19958659,True,,"고객님 고맙습니다.
더욱 발전하도록 할게요~~",2019-12-10 14:32:22,5735359.0
171,처음 시켜먹는데 맛있어요~~!,5,False,False,,1,"순살뿌링클/1,달콤바삭치즈볼/1",0,False,dm**,5,5,False,5.0,True,2019-12-01 20:30:18,[],dm**,19757251,True,,"고객님 고맙습니다 
늘 정성을 다하겠습니다
단골고객이 되어주세요^^",2019-12-01 22:17:36,5618448.0
172,핫뿌링클도 맛있고 치즈볼도 엄청 맛있었은데 소떡소떡은 덜익었는지 떡 안쪽이 생떡국 씹는 느낌이었어요ㅠㅠ 소시지는 맛있엇습니당,4,False,False,,2,"뿌링클HOT/1(추가메뉴(뿌링뿌링소스)),뿌링소떡/1,달콤바삭치즈볼/1",0,False,le**,4,4,False,5.0,True,2019-11-28 14:56:58,"[{'full': 'https://rev-static.yogiyo.co.kr/bbee4aa3836e925cb12696c224ea3305.jpg', 'thumb': 'https://rev-static.yogiyo.co.kr/bbee4aa3836e925cb12696c224ea3305_tn.jpg'}]",le**,19635705,True,,"고객님 
핫뿌링클 치즈볼 맛있게 드셨는데 소떡이 그랬다니 죄송하고 속상하네요
원인을 잘 분석해 다시 이런일이 없도록 하겠습니다
 이번건은 다음주문시 메모란에 남겨주시면 다시 해드리도록 하겠습니다  감사합니다 ",2019-11-28 23:40:01,5585520.0
173,"배달도 빠르게 왔고 양도 넉넉하네요~ 맛있게
잘 먹을게요.",4,False,False,,1,"뿌링클/1(추가메뉴(뿌링뿌링소스,뿌링치즈볼))",0,False,hy**,3,3,False,3.0,True,2019-11-26 17:34:33,"[{'full': 'https://rev-static.yogiyo.co.kr/e0955b6c13fb06125400042f0ccd1d3b.jpg', 'thumb': 'https://rev-static.yogiyo.co.kr/e0955b6c13fb06125400042f0ccd1d3b_tn.jpg'}]",hy**,19583416,True,,"고맙습니다 고객님~
별점5점 받는 그날까지 분발하겠습니다^^
",2019-11-26 23:31:50,5561387.0
174,"치킨이 맛이 없는게 아니라...개인적인 호불호가 갈릴듯 합니다.~^^
그러나 배달과 배달해주시는 분들 다들 너무 친절합니다.",5,False,False,,1,블랙올리브순살/1,0,False,fa**,4,3,False,5.0,True,2019-11-15 18:07:19,"[{'full': 'https://rev-static.yogiyo.co.kr/c123829f45c1ba062c4148b8d5788ee3.jpg', 'thumb': 'https://rev-static.yogiyo.co.kr/c123829f45c1ba062c4148b8d5788ee3_tn.jpg'}]",fa**,19182889,True,,"고객님 고맙습니다 
신제품의 경우 다양한 리뷰가 무엇보다 중요한데 소중한 의견 감사합니다 
배달에 대한 칭찬도 고맙습니다 ",2019-11-15 21:03:25,5393627.0
175,배달도 빠르고 맛있음,5,False,False,,1,뿌링클/1,0,False,qu**,5,5,False,5.0,True,2019-11-14 09:14:31,"[{'full': 'https://rev-static.yogiyo.co.kr/d44aa6fe4e8f4fb022f1eb0725c0d2e0.jpg', 'thumb': 'https://rev-static.yogiyo.co.kr/d44aa6fe4e8f4fb022f1eb0725c0d2e0_tn.jpg'}, {'full': 'https://rev-static.yogiyo.co.kr/e5bf83521283875671aa09059e9d1d57.jpg', 'thumb': 'https://rev-static.yogiyo.co.kr/e5bf83521283875671aa09059e9d1d57_tn.jpg'}]",qu**,19118722,True,,"고객님, 소중한 댓글 고맙습니다.
항상 분발하겠습니다~",2019-11-14 15:12:02,5372940.0
176,"블랙올리브 느끼하지않고 맛있네요
잘 먹었습니다",5,False,False,,1,블랙올리브/1,0,False,kt**,5,5,False,5.0,True,2019-11-13 21:36:18,[],kt**,19109227,True,,"고객님 고맙습니다 
신제품인 블랙올리브치킨 맛있다고들 해주셔서 힘이납니다
더욱더 정성을 다하겠습니다 ",2019-11-13 21:53:30,5365199.0
